Player,Pos,Ht,Wt,Exp,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
Nick Anderson,SG,198,93,11,33,21,0,8.0,0.7,2.7,.246,0.5,1.9,.256,0.2,0.9,.222,.333,0.0,0.0,,0.1,1.0,1.2,0.6,0.5,0.2,0.3,0.6,1.8,2001
Jon Barry,SG,193,88,8,31,62,2,16.3,1.7,4.1,.404,0.7,2.1,.348,0.9,2.0,.463,.494,1.0,1.2,.877,0.3,1.3,1.5,2.1,0.5,0.1,0.9,1.1,5.1,2001
Doug Christie,SG,198,91,8,30,81,81,36.3,3.8,9.7,.395,1.2,3.1,.376,2.7,6.6,.403,.454,3.5,3.9,.897,1.2,3.2,4.4,3.6,2.3,0.6,1.9,2.8,12.3,2001
Vlade Divac,C,216,110,11,32,81,81,29.9,4.5,9.3,.482,0.0,0.2,.286,4.4,9.1,.486,.485,3.0,4.3,.691,2.6,5.8,8.3,2.9,1.1,1.1,2.4,3.0,12.0,2001
Lawrence Funderburke,PF,206,104,3,30,59,2,11.8,2.0,4.1,.496,0.0,0.0,,2.0,4.1,.496,.496,0.8,1.3,.623,1.3,2.1,3.3,0.3,0.2,0.2,0.5,0.7,4.9,2001
Bobby Jackson,PG,185,84,3,27,79,7,20.9,2.9,6.7,.439,0.5,1.3,.375,2.4,5.3,.455,.476,0.8,1.1,.739,0.9,2.2,3.1,2.0,1.1,0.1,1.3,1.8,7.2,2001
Art Long,PF,206,113,0,28,9,0,2.2,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,.000,0.0,0.2,.000,0.2,0.7,0.9,0.1,0.0,0.3,0.2,0.6,0.0,2001
Darrick Martin,PG,180,77,6,29,31,0,5.7,0.9,2.5,.382,0.5,0.9,.519,0.5,1.6,.306,.474,1.0,1.1,.886,0.1,0.5,0.5,0.5,0.2,0.0,0.3,0.9,3.3,2001
Scot Pollard,C,211,120,3,25,77,8,21.5,2.4,5.1,.468,0.0,0.0,.000,2.4,5.1,.471,.468,1.7,2.2,.749,2.2,3.8,6.0,0.6,0.6,1.3,0.9,2.7,6.5,2001
Jabari Smith,C,211,113,0,23,9,0,7.3,1.2,2.4,.500,0.0,0.0,,1.2,2.4,.500,.500,0.4,0.7,.667,0.1,0.8,0.9,0.7,0.4,0.0,0.3,0.8,2.9,2001
